strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
278	GCR2	1.0047063669279	14.2892263511546	13.9937184357434	1	41	YNL199C
279	HOS4	0.995331347027576	14.3202903456525	13.8950340564656	1	42	YIL112W
280	RAD17	0.997847225991034	14.1455551283736	14.6663404261446	1	2	YOR368W
281	AFT2	1.00529732595466	14.2051190153888	14.4911909680759	1	1	YPL202C
282	ACK1	0.993443720621697	14.1792908213401	14.6842527642668	1	2	YDL203C
283	FIN1	1.00467481086336	13.8478622895689	14.5468530731948	1	5	YDR130C
284	MIG1	1.01145649600546	14.3052760278624	14.5608421680431	1	9	YGL035C
285	MMS4	0.996068611444462	14.1860373579805	14.7129459746688	1	7	YBR098W
286	STB2	0.996369828424123	14.0647785880859	14.4985006616103	1	3	YMR053C
287	BIT61	0.995675595004332	14.1164078107334	14.7000413878791	1	2	YJL058C
288	KIN3	1.00485697541773	14.3929859790906	14.2916206134806	1	10	YAR018C
289	CPD1	0.995800384895906	13.8227338398618	14.5524381614448	1	5	YGR247W
290	ATG19	0.997462815750324	14.3030803892943	14.5632949087448	1	9	YOL082W
291	CHA4	0.994582607678131	14.1073258469704	14.5911570104878	1	1	YLR098C
292	MSH2	1.00235974321968	15.0379295667991	7.11550412124646	1	13	YOL090W
293	CTI6	0.996052833412194	14.7591069882466	14.4231310749662	1	29	YPL181W
294	HAT1	0.996966524917167	14.3022668841364	14.4907992643185	1	1	YPL001W
295	PML39	0.992607484911494	14.3244621271947	14.4559763121	1	1	YML107C
296	STI1	0.996170451470919	14.0206913460651	14.5726703141838	1	2	YOR027W
297	YPL066W	0.994842228027268	14.120737367016	14.6466643868305	1	1	YPL066W
298	TRX1	0.996438678019474	14.2365894418379	14.4919936960021	1	1	YLR043C
299	RAD50	1.007790255053	13.9606176892722	14.770694022273	1	2	YNL250W
300	TCO89	1.00775583025533	14.4178461357191	14.3205321197081	1	46	YPL180W
301	TOR1	0.998122624372439	14.0366120167831	14.5114968858972	1	3	YJR066W
302	SLT2	0.99897894121462	14.1306176164586	14.362811282028	1	4	YHR030C
303	CRZ1	0.99161633761175	14.1239582595545	14.5660797371166	1	1	YNL027W
304	SPO7	0.9976492834044	14.0154415155634	14.4089056257066	1	3	YAL009W
305	CTK1	1.03983830732242	14.065899407244	14.091835531337	1	17	YKL139W
306	RCK1	1.00142597058273	14.2471901626588	14.362812212883	1	20	YGL158W
307	SNF6	0.997474290682882	14.2681749012715	13.9702097718834	1	16	YHL025W
308	ALY1	0.99850560024658	14.0627779532842	14.4393027557278	1	3	YKR021W
309	HDA2	1.01054567323362	14.2047609258374	14.1629528485154	1	44	YDR295C
310	RAD9	0.993932839622004	14.0392782977486	14.6377719503041	1	2	YDR217C
311	PEP7	1.00769988995911	14.4325807419435	14.266122159279	1	10	YDR323C
312	SNT1	0.992887186392608	14.3195629962905	13.8935163905765	1	42	YCR033W
313	PEX12	0.998142705504417	13.8891672501403	14.4420120814214	1	3	YMR026C
